мэр;burmistrz
сознание;świadomość
предугадывать;przewidywać
пробка;korek
число;liczba
запись видео;nagranie wideo
попробовать;spróbować
на глаз;na wzór
кошелек;portfel
случай;przypadek
полагаться; polegać liczyć na kogoś/coś
слушание;słuchanie
я услышал; ja usłyszałem
я мог;ja mogłem
наизусть; na pamięć
произведение;dzieło
обладать;posiadać
способность; zdolności / umiejętności
обращаться;zwracać się
необходимые вещи;potrzebne rzeczy
ненужные вещи;niepotrzebne rzeczy
большое спасибо;bardzo dziekuje
