todos los meses ; każdego miesiąca
nuestro ; nasz
vecino ; sąsiad
escuela ; szkoła
porque ; czemu
cerca ; blisko
casa ; dom
de mi ; od mojego
mas ; wiecej
explicaciones ; wyjasnienia
una torta ; ciasto
para ; dla
desayunu ; sniadanie
todas los mañanas ; kazdego poranka
todos los dias ; kazdego poranka
todos los años ; każdego roku
los novios ; para
los viernes ; piątki
leche ; mleko
despues ; po (np. po obiedzie)
cosas ; rzeczy
sin ayuda ; bez pomocy
los libros ; książki
las paredes ; ściany
empleado ; pracownik
peluquera ; fryzjerka
abogado ; adwokat
cocinero ; szef kuchni
jefe ; szef
escritor/a ; pisarz
enfermero/a ; pielęgniarka
guia ; przewodnik
cantante ; piosenkarz
empleado ; pracownik
bicicleta ; rower
mesa ; stół
reloj ; zegar
anitguo ; antyczny
pez pequeño ; mała ryb
casa grande ; duży dom
ejercicio ; ćwiczenie
camisa ; koszula
negra/o ; czarna/y
la bandera ; flaga
cielo ; niego
comida ; jedzenie
lapices ; ołówki
pagina ; strona
libro ; książka
sillas ; krzesła
puerta ; drzwi
arboles ; drzewa
dinero ; pieniądze
cómoda ; wygodny
es de madera ; jest zrobiony z drewna
corto ; krótki
flor ; kwiat
ciudad; miasto
redonda ; okrągły
urgente ; pilne
caro ; kosztowny
alta ; wysoki
delgada ; szczupły
nueo ; nowy
boligrafo ; pióro
rojo ; czerwony
rey ; król
joven ; młody
